# Synthetic camera emulation of a tracked double pendulum - NOT real footage.
# Generated by scripts/generate-hardware-fixture.ts (seeded, reproducible).
# Schema matches a video-tracker export: pixel coordinates, y-down, pivot offset.
time,x1,y1,x2,y2
0.000000,1031.46,398.20,955.73,503.94
0.016667,1030.38,396.93,956.50,504.13
0.033333,1027.62,397.52,956.95,506.77
0.050000,1027.75,399.85,958.70,509.78
0.066667,1025.29,399.58,958.81,511.35
0.083333,1020.85,401.89,957.85,514.99
0.100000,1017.16,403.44,959.24,518.62
0.116667,1014.16,405.22,961.12,524.30
0.133333,1008.57,405.91,962.83,526.90
0.150000,1000.96,408.00,963.51,531.56
0.166667,995.93,409.18,964.31,534.73
0.183333,990.07,411.04,965.50,537.78
0.200000,984.20,411.62,965.90,539.97
0.216667,975.68,411.84,966.36,541.92
0.233333,968.93,411.79,967.30,542.64
0.250000,962.39,412.55,966.04,541.18
0.266667,956.32,411.98,965.00,542.10
0.283333,950.70,412.43,963.74,542.10
0.300000,946.32,412.92,963.28,540.75
0.316667,941.08,412.50,960.33,541.26
0.333333,937.28,411.16,957.38,539.14
0.350000,934.02,410.79,952.72,539.12
0.366667,931.39,409.87,951.63,539.05
0.383333,928.02,409.36,947.68,539.31
0.400000,927.18,408.71,942.96,538.69
0.416667,924.63,407.39,940.21,537.52
0.433333,924.40,409.32,937.65,538.58
0.450000,922.49,409.05,932.26,537.42
0.466667,923.17,408.53,930.76,538.28
0.483333,924.47,408.30,926.76,537.98
0.500000,924.50,408.88,924.76,538.68
0.516667,926.13,409.08,923.43,538.92
0.533333,927.49,408.67,920.42,537.77
0.550000,927.75,409.93,918.77,540.51
0.566667,929.30,410.03,916.36,537.55
0.583333,932.31,409.35,915.70,539.96
0.600000,932.68,410.83,914.10,537.56
0.616667,935.68,410.58,914.05,539.20
0.633333,937.45,411.51,914.17,538.22
0.650000,938.29,411.38,915.90,540.15
0.666667,940.96,411.39,915.56,538.90
0.683333,942.12,412.35,917.12,539.68
0.700000,943.92,412.03,919.25,538.61
0.716667,947.56,412.10,921.55,540.77
0.733333,949.09,412.07,923.33,539.23
0.750000,949.70,411.47,924.47,538.20
0.766667,954.00,412.10,927.52,540.39
0.783333,952.58,412.14,930.34,540.72
0.800000,957.39,412.65,933.86,540.68
0.816667,958.39,411.46,937.14,540.51
0.833333,960.60,413.73,940.59,540.97
0.850000,961.86,413.07,943.99,541.23
0.866667,963.48,412.54,946.93,541.78
0.883333,963.69,412.31,950.79,542.57
0.900000,966.06,411.16,955.14,543.38
0.916667,966.06,412.75,958.35,542.32
0.933333,969.01,411.03,961.24,542.02
0.950000,969.24,413.00,964.47,542.11
0.966667,968.92,412.74,967.40,542.04
0.983333,970.01,413.57,969.63,542.82
1.000000,970.64,413.12,972.81,541.66
1.016667,971.27,413.15,974.80,541.82
1.033333,973.14,411.69,978.03,541.73
1.050000,973.79,413.90,981.08,540.69
1.066667,973.52,411.91,982.19,541.46
1.083333,974.63,413.06,984.22,541.10
1.100000,974.05,411.47,986.00,539.83
1.116667,974.66,412.50,986.98,542.23
1.133333,975.63,412.06,988.65,542.59
1.150000,976.95,412.10,989.58,539.78
1.166667,974.76,412.75,989.39,540.70
1.183333,974.52,412.11,990.96,539.02
1.200000,975.05,414.46,990.40,541.67
1.216667,974.83,411.32,991.96,540.78
1.233333,974.82,412.81,991.39,539.89
1.250000,974.42,411.69,989.96,540.84
1.266667,973.09,412.02,989.28,540.16
1.283333,972.89,413.40,988.79,539.46
1.300000,971.29,412.36,989.28,540.99
1.316667,971.93,413.01,987.07,540.75
1.333333,971.43,412.59,986.03,541.18
1.350000,971.06,412.42,984.65,540.26
1.366667,969.33,411.78,983.28,542.61
1.383333,968.61,412.99,983.19,541.42
1.400000,967.15,412.23,979.51,540.72
1.416667,967.77,413.14,978.42,542.63
1.433333,965.21,412.60,977.43,542.48
1.450000,965.74,412.36,976.19,540.19
1.466667,963.81,412.32,972.97,542.36
1.483333,963.58,411.97,970.18,542.89
1.500000,960.83,412.20,969.90,542.81
